Ref,Val,Package,PosX,PosY,Rot,Side
"C1","1 uF","C_0603_1608Metric_Pad1.08x0.95mm_HandSolder",80.827078,-46.928500,180.000000,top
"C2","100 pF","C_0402_1005Metric_Pad0.74x0.62mm_HandSolder",78.344578,-55.273500,-90.000000,top
"C3","100 pF","C_0402_1005Metric_Pad0.74x0.62mm_HandSolder",89.293578,-50.065958,180.000000,top
"C4","2.4 pF","C_0402_1005Metric_Pad0.74x0.62mm_HandSolder",86.797879,-53.334668,0.000000,top
"C5","100 pF","C_0402_1005Metric_Pad0.74x0.62mm_HandSolder",88.378578,-64.364958,0.000000,top
"C6","1 uF","C_0603_1608Metric_Pad1.08x0.95mm_HandSolder",86.473078,-46.917071,0.000000,top
"C7","220 pF","C_0402_1005Metric_Pad0.74x0.62mm_HandSolder",91.103578,-58.776958,0.000000,top
"C8","1000 pF","C_0402_1005Metric_Pad0.74x0.62mm_HandSolder",92.773078,-47.292071,0.000000,top
"C9","4.7 uF","C_0603_1608Metric_Pad1.08x0.95mm_HandSolder",92.960578,-45.592071,0.000000,top
"C10","18 pF","C_0603_1608Metric_Pad1.08x0.95mm_HandSolder",99.083578,-59.253458,-90.000000,top
"J1","2484782-1 ","2016504-1",70.442066,-59.463829,-90.000000,top
"J2","Conn_01x01_Female","PinHeader_1x01_P2.54mm_Vertical",89.171078,-75.204225,0.000000,top
"J3","Conn_01x05","PinHeader_1x05_P2.54mm_Vertical",84.438000,-42.084000,90.000000,top
"J4","2484782-1 ","2016504-1",107.768578,-58.390958,90.000000,top
"L1","3.9 nH","L_0603_1608Metric_Pad1.05x0.95mm_HandSolder",79.869078,-59.284958,0.000000,top
"L2","5.6 nH","L_0603_1608Metric_Pad1.05x0.95mm_HandSolder",87.375236,-49.494901,-90.000000,top
"L3","12 nH","L_0603_1608Metric_Pad1.05x0.95mm_HandSolder",92.173078,-53.017071,90.000000,top
"L4","22 nH","L_0603_1608Metric_Pad1.05x0.95mm_HandSolder",94.003578,-59.265958,-90.000000,top
"L5","5.6 nH","L_0603_1608Metric_Pad1.05x0.95mm_HandSolder",96.543578,-58.390958,0.000000,top
"R1","1.8K 1/16 W","R_0402_1005Metric_Pad0.72x0.64mm_HandSolder",80.164578,-51.428500,-90.000000,top
"R2","2K 1/16 W","R_0402_1005Metric_Pad0.72x0.64mm_HandSolder",83.064578,-50.028500,-90.000000,top
"U1","MMZ09332BT1","QFN-12-1EP_3x3mm_P0.5mm_EP1.6x1.6mm_ThermalVias",87.131078,-58.390958,0.000000,top
